,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
25,0.0618,0.834,242456.0,0.742,0.18,7.0,0.0657,-7.559,0.0,0.0929,123.022,4.0,0.122
26,0.753,0.334,293493.0,0.241,0.00274,5.0,0.0693,-14.084,0.0,0.0304,74.703,3.0,0.146
27,0.928,0.286,452293.0,0.217,0.762,9.0,0.0551,-17.827,1.0,0.0375,104.355,1.0,0.0635
28,0.995,0.301,147213.0,0.00532,0.872,4.0,0.0715,-29.958,0.0,0.054,73.427,3.0,0.0339
29,0.148,0.627,218680.0,0.94,0.00333,11.0,0.623,-5.563,0.0,0.29,158.012,4.0,0.592
30,0.687,0.707,87715.0,0.228,0.907,0.0,0.11,-18.58,0.0,0.0957,87.992,4.0,0.184
31,0.985,0.25,201524.0,0.0782,0.961,6.0,0.15,-23.099,0.0,0.0393,77.78,4.0,0.164
32,0.994,0.393,331400.0,0.143,0.873,7.0,0.0952,-23.881,1.0,0.0392,136.737,3.0,0.517
33,0.867,0.532,229522.0,0.145,0.00103,2.0,0.11,-16.308,1.0,0.0358,78.729,4.0,0.16
34,0.646,0.634,220690.0,0.284,0.782,6.0,0.196,-15.264,0.0,0.0435,174.028,4.0,0.14
35,0.992,0.211,243173.0,0.0696,0.415,10.0,0.392,-23.679,0.0,0.0446,71.86,3.0,0.0618
36,0.339,0.666,219240.0,0.565,0.0,8.0,0.0728,-7.601,0.0,0.031,119.955,4.0,0.404
37,0.435,0.481,247053.0,0.54,0.000587,0.0,0.104,-5.79,0.0,0.0296,79.764,4.0,0.393
38,0.435,0.481,247053.0,0.54,0.000587,0.0,0.104,-5.79,0.0,0.0296,79.764,4.0,0.393
39,0.864,0.596,156781.0,0.533,8.28e-05,6.0,0.13,-8.457,0.0,0.0926,76.939,4.0,0.457
40,0.0316,0.807,225667.0,0.477,0.00103,9.0,0.0467,-11.496,0.0,0.0489,117.687,4.0,0.968
41,0.0702,0.622,327947.0,0.713,3.04e-06,11.0,0.104,-7.253,0.0,0.0357,89.448,4.0,0.639
42,0.946,0.37,317672.0,0.273,3.25e-05,4.0,0.114,-8.705,0.0,0.0367,64.686,4.0,0.294
43,0.831,0.696,137293.0,0.515,0.0,0.0,0.0623,-7.685,0.0,0.0398,130.472,4.0,0.933
44,0.425,0.607,172400.0,0.491,0.000507,11.0,0.109,-6.643,1.0,0.0888,88.781,4.0,0.69
45,0.687,0.619,242567.0,0.51,0.0,1.0,0.137,-5.549,0.0,0.0305,127.966,4.0,0.441
46,0.577,0.915,172052.0,0.352,1.16e-06,2.0,0.0789,-11.506,1.0,0.109,135.993,4.0,0.708
47,0.335,0.551,250187.0,0.725,3.95e-05,6.0,0.0653,-7.354,0.0,0.0608,160.083,4.0,0.539
48,0.155,0.636,243120.0,0.841,0.0,0.0,0.415,-7.688,1.0,0.0668,127.755,4.0,0.549
49,0.169,0.36,260360.0,0.582,0.00022,2.0,0.521,-13.991,1.0,0.0377,135.029,4.0,0.217
50,0.949,0.205,144333.0,0.442,0.00319,2.0,0.325,-10.006,1.0,0.0366,80.918,4.0,0.108
51,0.0152,0.619,225627.0,0.579,6.4e-05,4.0,0.0858,-9.307,1.0,0.0473,127.224,4.0,0.69
52,0.0696,0.675,285200.0,0.899,0.000139,10.0,0.33,-6.124,0.0,0.0418,103.683,4.0,0.91
53,0.0514,0.67,160500.0,0.619,0.0,0.0,0.0492,-10.365,0.0,0.0323,108.826,4.0,0.807
54,0.0111,0.814,180267.0,0.482,1.57e-06,9.0,0.0476,-10.493,1.0,0.0588,148.404,4.0,0.615
55,0.649,0.572,225027.0,0.214,0.129,7.0,0.125,-15.625,1.0,0.0293,95.542,4.0,0.485
56,0.165,0.694,215080.0,0.831,0.000892,9.0,0.25,-7.288,1.0,0.0301,125.901,4.0,0.98
57,0.00574,0.579,391376.0,0.508,0.000494,2.0,0.0575,-9.484,1.0,0.027,147.125,4.0,0.609
58,0.105,0.633,245200.0,0.357,0.0,5.0,0.133,-9.366,0.0,0.0264,104.938,4.0,0.674
59,0.00367,0.631,208933.0,0.59,0.00299,5.0,0.0537,-12.138,1.0,0.0297,130.145,4.0,0.927
60,0.0191,0.482,236107.0,0.835,0.0143,6.0,0.162,-7.68,0.0,0.0539,96.444,4.0,0.776
61,0.739,0.657,181133.0,0.435,0.0,10.0,0.167,-15.707,1.0,0.0552,135.975,4.0,0.771
62,0.446,0.559,192827.0,0.473,0.00141,5.0,0.154,-7.712,1.0,0.0279,121.227,4.0,0.397
63,0.48,0.59,216773.0,0.355,0.0,9.0,0.0585,-14.051,1.0,0.0352,133.03,4.0,0.499
64,0.626,0.535,127733.0,0.424,0.0,9.0,0.191,-7.491,1.0,0.0314,97.506,4.0,0.539
65,0.91,0.644,341467.0,0.124,0.000295,5.0,0.103,-17.784,1.0,0.034,82.902,4.0,0.34
66,0.829,0.421,196133.0,0.285,1.55e-06,2.0,0.233,-9.43,0.0,0.0293,85.861,4.0,0.402
67,0.566,0.575,203240.0,0.764,1.07e-05,4.0,0.0692,-7.448,1.0,0.0746,123.821,4.0,0.536
68,0.699,0.743,139200.0,0.799,0.0,8.0,0.0635,-5.466,0.0,0.0375,116.112,4.0,0.965
69,0.504,0.249,248947.0,0.66,0.0026,0.0,0.0891,-6.905,1.0,0.0342,149.813,4.0,0.435
70,0.00542,0.676,238709.0,0.962,3.5e-05,1.0,0.636,-4.003,0.0,0.152,151.437,4.0,0.665
71,0.176,0.554,226446.0,0.688,0.938,7.0,0.321,-8.833,1.0,0.0315,118.013,4.0,0.399
72,0.00618,0.699,222101.0,0.735,1.79e-06,11.0,0.0943,-5.412,1.0,0.0498,127.988,4.0,0.752
73,0.0495,0.612,240400.0,0.807,0.0177,10.0,0.101,-2.81,1.0,0.0336,124.053,4.0,0.398
74,0.923,0.581,189400.0,0.163,0.0,5.0,0.118,-14.686,1.0,0.0447,77.748,4.0,0.475
75,0.479,0.605,213787.0,0.615,0.0,8.0,0.137,-5.617,1.0,0.0474,172.211,4.0,0.841
76,0.021,0.542,245456.0,0.906,0.00043,9.0,0.377,-4.213,1.0,0.0491,120.014,4.0,0.515
77,0.876,0.387,272000.0,0.182,0.00302,2.0,0.115,-12.077,1.0,0.0336,122.351,4.0,0.163
78,0.22,0.736,250547.0,0.525,0.00152,2.0,0.127,-9.694,1.0,0.0296,102.987,4.0,0.529
79,0.96,0.454,104493.0,0.464,0.000423,3.0,0.103,-11.635,1.0,0.0746,66.152,4.0,0.197
80,0.253,0.629,207427.0,0.785,0.0,2.0,0.0943,-4.598,1.0,0.0274,97.435,4.0,0.607
81,0.00176,0.658,228114.0,0.656,3.39e-06,4.0,0.152,-6.559,1.0,0.0388,121.017,4.0,0.629
82,0.00285,0.637,206493.0,0.559,0.0334,5.0,0.0809,-8.09,0.0,0.0534,179.985,4.0,0.222
83,9.02e-05,0.445,182840.0,0.903,0.0213,0.0,0.137,-4.933,1.0,0.0497,158.079,4.0,0.233
84,0.805,0.504,140312.0,0.401,0.00596,0.0,0.155,-10.016,1.0,0.0958,114.95,4.0,0.243
85,0.359,0.831,207706.0,0.419,0.00228,1.0,0.0959,-7.381,0.0,0.44,84.983,4.0,0.339
86,0.575,0.762,189000.0,0.244,0.000661,4.0,0.11,-14.089,1.0,0.0711,94.949,4.0,0.255
87,0.363,0.233,264453.0,0.471,0.828,5.0,0.113,-10.947,1.0,0.0294,182.161,4.0,0.277
88,0.527,0.609,208744.0,0.389,0.113,5.0,0.11,-11.675,0.0,0.0341,138.037,4.0,0.144
89,0.86,0.716,151150.0,0.231,0.0393,0.0,0.112,-14.739,1.0,0.0527,107.049,4.0,0.231
90,0.513,0.402,142588.0,0.405,0.0167,9.0,0.155,-12.486,1.0,0.0713,84.873,4.0,0.072
91,0.0121,0.783,252267.0,0.402,0.896,8.0,0.168,-9.56,1.0,0.119,83.003,4.0,0.613
92,0.294,0.749,198661.0,0.383,6.63e-05,4.0,0.115,-13.404,0.0,0.152,125.384,4.0,0.334
93,0.859,0.773,110250.0,0.403,0.944,8.0,0.1,-11.617,0.0,0.0449,80.003,4.0,0.537
94,0.427,0.707,235507.0,0.546,0.17,11.0,0.101,-9.017,0.0,0.0399,78.007,4.0,0.774
95,0.841,0.754,226657.0,0.342,0.0312,9.0,0.109,-11.3,1.0,0.052,125.093,4.0,0.349
96,0.714,0.67,220887.0,0.707,0.065,11.0,0.0634,-9.726,0.0,0.0358,89.008,4.0,0.799
97,0.265,0.672,259213.0,0.503,0.000321,2.0,0.204,-5.141,1.0,0.0464,60.496,4.0,0.465
98,0.04,0.556,63214.0,0.563,0.9,0.0,0.245,-6.731,1.0,0.0523,83.9,4.0,0.349
99,0.895,0.564,132916.0,0.379,0.257,4.0,0.0874,-7.732,1.0,0.0391,104.912,4.0,0.564
100,0.626,0.565,151173.0,0.44,0.000205,6.0,0.0893,-10.009,0.0,0.051,119.728,4.0,0.229
101,0.656,0.711,127000.0,0.473,0.0666,1.0,0.119,-11.971,1.0,0.116,90.001,4.0,0.32
102,0.614,0.527,256205.0,0.555,0.574,7.0,0.33,-11.346,1.0,0.0272,143.917,4.0,0.18
103,0.138,0.729,202160.0,0.344,0.00107,10.0,0.134,-9.541,0.0,0.0395,142.13,4.0,0.543
104,0.67,0.544,184516.0,0.552,4.57e-05,9.0,0.415,-7.45,1.0,0.0991,159.738,3.0,0.554
105,0.782,0.159,475520.0,0.124,0.0323,1.0,0.111,-28.571,1.0,0.057,85.648,4.0,0.0518
106,0.992,0.312,212500.0,0.074,0.945,9.0,0.0943,-17.481,1.0,0.0421,128.106,4.0,0.101
107,0.109,0.707,232292.0,0.549,0.0,1.0,0.0648,-6.996,1.0,0.0383,106.967,4.0,0.531
108,0.124,0.416,207293.0,0.963,0.0,5.0,0.197,-2.937,1.0,0.0664,167.918,4.0,0.766
109,0.0177,0.603,237042.0,0.712,4.99e-05,10.0,0.313,-10.501,0.0,0.028,141.909,4.0,0.487
110,0.58,0.502,274900.0,0.39,0.473,4.0,0.115,-8.903,1.0,0.0286,128.474,4.0,0.108
111,0.947,0.594,152985.0,0.304,0.198,9.0,0.0933,-15.353,0.0,0.029,79.994,4.0,0.13
112,0.27,0.491,173947.0,0.801,0.0,4.0,0.0665,-9.835,1.0,0.0361,160.109,4.0,0.971
113,0.707,0.591,108547.0,0.605,0.0,0.0,0.309,-10.925,1.0,0.0413,133.348,4.0,0.882
114,0.635,0.608,177133.0,0.565,0.0,2.0,0.0601,-11.06,1.0,0.0336,109.286,4.0,0.835
115,0.608,0.654,145080.0,0.561,0.0,10.0,0.129,-10.551,1.0,0.0304,129.884,4.0,0.929
116,0.607,0.402,146440.0,0.86,0.0,4.0,0.736,-10.31,1.0,0.0504,142.445,4.0,0.822
117,0.767,0.605,146533.0,0.394,0.0,4.0,0.0967,-11.33,1.0,0.0378,133.942,4.0,0.597
118,0.334,0.527,120853.0,0.48,0.0,4.0,0.0702,-9.61,1.0,0.028,139.388,4.0,0.706
119,0.386,0.52,141693.0,0.829,6.2e-05,0.0,0.227,-6.228,1.0,0.0806,147.997,4.0,0.744
120,0.389,0.635,124360.0,0.656,0.00127,2.0,0.0828,-8.5,1.0,0.0291,134.435,4.0,0.77
121,0.778,0.608,160520.0,0.494,0.0,4.0,0.0926,-12.211,0.0,0.0345,112.421,4.0,0.879
122,0.608,0.673,117013.0,0.349,0.0,4.0,0.38,-12.414,1.0,0.0368,124.451,4.0,0.609
123,0.698,0.42,123480.0,0.372,0.0,1.0,0.104,-11.416,0.0,0.0327,101.408,3.0,0.412
124,0.629,0.455,110493.0,0.582,4.22e-06,4.0,0.172,-10.009,1.0,0.0292,140.928,4.0,0.927
125,0.641,0.482,155227.0,0.849,7.74e-06,2.0,0.0414,-9.198,1.0,0.0452,124.631,4.0,0.937
126,0.992,0.498,64427.0,0.0455,0.897,2.0,0.103,-34.997,0.0,0.118,128.659,5.0,0.273
127,0.0237,0.457,222502.0,0.674,0.0161,10.0,0.34,-6.37,1.0,0.255,159.851,4.0,0.171
128,0.526,0.732,250758.0,0.704,0.0,7.0,0.104,-6.294,1.0,0.132,89.932,4.0,0.493
129,0.188,0.847,205389.0,0.713,0.0,2.0,0.0821,-6.267,1.0,0.275,97.021,4.0,0.686
130,0.0307,0.732,200362.0,0.6,8.25e-05,1.0,0.137,-6.127,1.0,0.0535,131.912,4.0,0.238
131,0.283,0.894,179767.0,0.489,1.97e-05,7.0,0.085,-8.536,1.0,0.0874,116.004,4.0,0.777
132,0.808,0.659,131753.0,0.324,0.883,2.0,0.107,-10.942,1.0,0.0398,138.007,4.0,0.277
133,0.361,0.257,228133.0,0.412,8.68e-05,1.0,0.0702,-11.788,1.0,0.0287,152.126,4.0,0.858
134,0.366,0.702,150373.0,0.447,0.0,7.0,0.153,-10.122,1.0,0.0308,93.02,4.0,0.944
135,0.217,0.49,122573.0,0.579,0.0,1.0,0.0644,-10.301,0.0,0.0344,119.403,4.0,0.879
136,0.207,0.416,127853.0,0.563,0.0,1.0,0.343,-8.724,0.0,0.0298,77.56,4.0,0.9
137,0.116,0.606,130627.0,0.413,0.0,11.0,0.352,-7.902,0.0,0.0622,96.245,4.0,0.889
138,0.281,0.364,226667.0,0.483,1.53e-06,7.0,0.113,-8.22,1.0,0.0317,102.967,4.0,0.7
139,0.64,0.767,149693.0,0.331,0.0,1.0,0.0681,-10.777,0.0,0.0337,113.312,4.0,0.636
140,0.0067,0.555,120493.0,0.65,0.0491,4.0,0.236,-6.936,1.0,0.0282,132.59,4.0,0.966
141,0.238,0.516,125360.0,0.638,0.0,9.0,0.333,-7.453,1.0,0.0314,88.657,4.0,0.822
142,0.366,0.612,131280.0,0.719,3.88e-06,2.0,0.437,-7.026,1.0,0.0398,141.016,4.0,0.744
143,0.434,0.374,124520.0,0.596,0.0,9.0,0.098,-7.666,1.0,0.0416,202.97,3.0,0.876
144,0.0215,0.663,180600.0,0.606,0.0,7.0,0.119,-5.758,1.0,0.0307,96.886,4.0,0.412
145,0.069,0.48,163453.0,0.969,0.00022,9.0,0.0608,-7.464,1.0,0.0854,142.489,4.0,0.494
146,0.754,0.328,165667.0,0.249,5.77e-06,2.0,0.134,-11.777,1.0,0.0272,81.257,4.0,0.162
147,0.338,0.526,157533.0,0.413,0.0,0.0,0.0992,-9.865,1.0,0.0446,111.874,4.0,0.71
148,7.37e-05,0.541,163080.0,0.727,0.717,2.0,0.232,-7.509,1.0,0.0384,139.239,4.0,0.91
149,0.754,0.686,138387.0,0.127,1.41e-05,7.0,0.0573,-14.361,1.0,0.0342,93.699,4.0,0.372
150,0.0258,0.294,235067.0,0.407,0.000219,0.0,0.0852,-11.575,1.0,0.0308,101.052,4.0,0.0378
151,0.283,0.483,131867.0,0.677,0.0,0.0,0.321,-5.91,1.0,0.0593,170.72,4.0,0.842
152,0.226,0.543,96467.0,0.458,0.00663,0.0,0.298,-8.976,1.0,0.0274,84.319,4.0,0.704
153,0.0302,0.533,259947.0,0.376,0.248,9.0,0.0926,-11.913,0.0,0.0393,165.007,4.0,0.187
154,0.224,0.621,194160.0,0.459,0.0,0.0,0.656,-10.414,1.0,0.104,114.816,4.0,0.648
155,0.115,0.517,182080.0,0.529,0.00396,9.0,0.174,-11.851,0.0,0.0323,76.644,4.0,0.362
156,0.29,0.364,337413.0,0.457,0.000106,4.0,0.922,-14.162,0.0,0.0675,163.219,4.0,0.175
157,0.16,0.388,235773.0,0.529,0.0681,7.0,0.108,-10.533,1.0,0.0436,150.721,4.0,0.332
158,0.227,0.618,146213.0,0.622,0.0,7.0,0.0438,-8.861,1.0,0.0296,121.072,4.0,0.966
159,0.472,0.538,235000.0,0.478,0.0,11.0,0.17,-8.957,0.0,0.0388,59.004,4.0,0.527
160,0.659,0.54,50467.0,0.489,0.0019,5.0,0.457,-12.276,1.0,0.117,157.03,3.0,0.67
161,0.116,0.373,176507.0,0.934,0.00445,9.0,0.0962,-6.753,1.0,0.0591,136.037,4.0,0.918
162,0.164,0.394,134267.0,0.64,0.139,4.0,0.153,-8.992,1.0,0.0488,164.626,4.0,0.574
163,0.554,0.371,148253.0,0.724,0.0,2.0,0.299,-9.792,1.0,0.0562,170.377,4.0,0.916
164,0.594,0.599,230453.0,0.537,1.92e-05,0.0,0.194,-9.617,1.0,0.0254,84.895,4.0,0.946
165,0.0173,0.754,148893.0,0.571,0.0,2.0,0.3,-8.547,1.0,0.0421,122.463,4.0,0.82
166,0.619,0.389,217107.0,0.476,5.09e-05,9.0,0.255,-9.342,1.0,0.0316,148.117,4.0,0.566
167,0.606,0.433,221867.0,0.46,4.36e-05,2.0,0.175,-10.441,1.0,0.0343,77.525,4.0,0.536
168,0.166,0.556,266827.0,0.808,0.000167,0.0,0.164,-6.965,1.0,0.0335,115.287,4.0,0.844
169,0.0302,0.438,186467.0,0.576,1.09e-05,9.0,0.0988,-8.727,1.0,0.032,165.277,4.0,0.742
170,0.243,0.452,187133.0,0.67,5.08e-05,9.0,0.108,-8.392,0.0,0.0352,113.071,4.0,0.539
171,0.412,0.652,163600.0,0.583,0.0,9.0,0.119,-7.811,1.0,0.038,138.134,4.0,0.744
172,0.936,0.581,126533.0,0.28,1.56e-05,4.0,0.305,-9.091,0.0,0.0381,137.831,4.0,0.813
173,0.00101,0.647,141613.0,0.487,0.285,11.0,0.138,-10.119,0.0,0.0689,123.444,1.0,0.222
174,0.0207,0.523,144773.0,0.731,0.000464,2.0,0.081,-8.613,1.0,0.0559,117.089,4.0,0.81
175,0.466,0.543,146000.0,0.806,0.0,4.0,0.134,-7.231,1.0,0.0385,85.172,4.0,0.943
176,0.488,0.74,123800.0,0.49,0.0,2.0,0.103,-9.095,1.0,0.038,123.227,4.0,0.678
177,0.382,0.469,156827.0,0.507,0.0,0.0,0.0783,-8.917,0.0,0.0451,112.984,4.0,0.619
178,0.368,0.551,135520.0,0.395,0.88,0.0,0.0932,-14.755,1.0,0.0501,92.929,4.0,0.261
179,0.913,0.356,179107.0,0.26,2.1e-06,4.0,0.105,-10.577,0.0,0.0314,144.184,4.0,0.49
180,0.783,0.483,119813.0,0.351,0.0,1.0,0.115,-10.487,0.0,0.0278,81.208,4.0,0.713
181,0.24,0.88,152213.0,0.556,0.0483,2.0,0.24,-10.773,1.0,0.0855,128.542,4.0,0.955
182,0.492,0.761,189387.0,0.592,0.00626,2.0,0.61,-9.836,1.0,0.0586,123.095,4.0,0.332
183,0.313,0.632,168120.0,0.471,5.08e-06,0.0,0.0712,-7.887,1.0,0.0348,121.672,4.0,0.764
